Ddx3y
Eif2s3y
Uty
Kdm5d
Xist
Tsix
Fos
Fosb
Fosl1
Fosl2
Jun
Junb
Jund
Egr1
Egr2
Egr3
Egr4
Nr4a1
Nr4a2
Nr4a3
Arc
Homer1
Rheb
Rgs2
Plk2
Ptgs2
Bdnf
Inhba
Nptx2
Plat
Nrn1
Myc
Dusp1
Dusp5
Dusp6
Pcdh8
Gadd45b
Trib1
Gem
Btg2
Ier2
Npas4
Rasd1
Crem
Mbnl2
Arf4
Gadd45g
Arih1
Nup98
Ppp1r15a
Fbxo33
Per1
Per2
Maff
Zfp36
Srf
Mcl1
Il6
Atf3
Rcan1
Ncoa7
Cxcl2
Bhlhe40
Slc2a3
Nfkbia
Ier3
Sgk1
Klf6
Klf10
Nfkbiz
Flg
Gbp2b
Tnfaip3
Cebpd
Hbegf
Ldlr
Tsc22d1
F3
Ccl2
Csrnp1
Pmaip1
Zfp36l2
Plau
Ccl5
Saa3
Ifnb1
Tnf
Irf1
Cd83
Map3k8
Socs3
Csf2
Il1a
Cxcl1
Il12b
Il1b
Sod2
Pim1
Peli1
Tlr2
Ccl3
Noct
Bcl3
Ifit2
Icam1
Ifit1
Tnfsf9
Ccrl2
Cxcl10
Gbp2
Il10
Clec4e
Acod1
Mmp13
Cxcl11
Il23a
Arhgef3
Serpine1
Traf1
Vcam1
Ackr4
Marcksl1
Nfkbid
Ikbke
Ccl12
Ifit3
Cebpb
Zfp36l1
Txnip
Nfib
Hes1
Pias1
Klf2
Cd69
Dusp2
Wee1
Thbs1
Sik1
Gdf15
Ier5
Rgs1
Id2
Apold1
B2m
Bst2
Oasl2
H2-D1
Stat1
Ifi27l2a
H2-K1
Rnf213
Rtp4
Isg15
H2-Q6
Stat2
Psmb8
H2-Q7
Gbp7
Usp18
Gm4951
Eif2ak2
Ddx58
Irf9
Ifi35
H2-Q4
Lgals3bp
Ifit3b
Ube2l6
Irf7
C1qa
Nrgn
Tmsb10
Basp1
Rpl9-ps6
Gng3
Orc5
Rpl22l1
Nap1l5
Calm2
Ywhab
Ywhaz
Rpl41
Tmsb4x
Gm2000
Pcp4
Ywhah
Gap43
Sepw1
Rps6
Tecpr2
Rps27rt
Rpl32
Gm9493
Sncb
Eef1a1
Rpl17
Rps19
Heph
Rpl14
Rpl26
Ctxn1
Rps23
Stmn1
6330403K07Rik
Rps16
Dynll1
Ywhag
Mrfap1
